(0.0, 0.0, -390.52812812629344)	(0.0, 0.0, -22.25076587854015)
(0.0, 0.0, -651.6742038081542)	(0.0, 0.0, -352.45588392540566)
(0.0, 0.0, 164.1416289879704)	(0.0, 0.0, -48.40131726295581)
(0.0, 0.0, 35.725116434827136)	(0.0, 0.0, 301.23626859957085)
(0.0, 0.0, -83.97022697488349)	(0.0, 0.0, 1080.0403682310396)
(0.0, 0.0, -753.3789986906346)	(0.0, 0.0, -150.39557891482272)
(0.0, 0.0, -161.27330013005806)	(0.0, 0.0, 0.5150517459145831)
(0.0, 0.0, -594.2152244294252)	(0.0, 0.0, 194.2560782759589)
(0.0, 0.0, 93.5200386567716)	(0.0, 0.0, -291.7789872245392)
(0.0, 0.0, -310.9527312078064)	(0.0, 0.0, -461.60793665282864)
(0.0, 0.0, 405.30061234607166)	(0.0, 0.0, 532.8915733182271)
(0.0, 0.0, 27.129568172813627)	(0.0, 0.0, -526.3999901515994)
(0.0, 0.0, 78.16183857128561)	(0.0, 0.0, 47.549725797386)
(0.0, 0.0, 198.29062064201085)	(0.0, 0.0, 197.0789491266535)
(0.0, 0.0, 240.78112570471723)	(0.0, 0.0, 354.73861690411775)
(0.0, 0.0, -41.0676482744538)	(0.0, 0.0, 278.17666134496363)
(0.0, 0.0, 333.1584510421067)	(0.0, 0.0, 85.04636154424475)
(0.0, 0.0, -27.623435973208483)	(0.0, 0.0, 556.0500631135972)
(0.0, 0.0, 178.33268579820353)	(0.0, 0.0, 43.34188477227768)
(0.0, 0.0, 431.1990257913003)	(0.0, 0.0, 843.4481959006732)
(0.0, 0.0, -783.650014087868)	(0.0, 0.0, 64.29062943740529)
(0.0, 0.0, 30.958122949828557)	(0.0, 0.0, 137.19399376447265)
(0.0, 0.0, 628.2985102759375)	(0.0, 0.0, -3.2489418219161177)
(0.0, 0.0, 117.56036006982389)	(0.0, 0.0, 304.0992224473393)
(0.0, 0.0, -374.523157236558)	(0.0, 0.0, 104.97496837044783)
(0.0, 0.0, 677.3493241101562)	(0.0, 0.0, 366.9405083533551)
(0.0, 0.0, -64.41287650163085)	(0.0, 0.0, 308.97994331281114)
(0.0, 0.0, -319.673800081469)	(0.0, 0.0, 320.25313470914386)
(0.0, 0.0, -275.9487791462372)	(0.0, 0.0, 139.97870379949717)
(0.0, 0.0, 173.5795876155688)	(0.0, 0.0, 170.63334528944873)
(0.0, 0.0, 373.3530819193343)	(0.0, 0.0, 359.129632275807)
(0.0, 0.0, 229.26667186434136)	(0.0, 0.0, 109.43094490759232)
(0.0, 0.0, 236.07168241402562)	(0.0, 0.0, -10.388670255879644)
(0.0, 0.0, 163.69023492948313)	(0.0, 0.0, 73.34856887640468)
(0.0, 0.0, 135.2632247495632)	(0.0, 0.0, 159.50215179374737)
(0.0, 0.0, -22.72408389517646)	(0.0, 0.0, 206.79102699510216)
(0.0, 0.0, 150.0072371534347)	(0.0, 0.0, -149.26575913497282)
(0.0, 0.0, 268.44501279658505)	(0.0, 0.0, -388.78187819417565)
(0.0, 0.0, -557.8499409316887)	(0.0, 0.0, -409.2699628885397)
(0.0, 0.0, 277.35754850561466)	(0.0, 0.0, 494.02415490479785)
(0.0, 0.0, -171.26284850740646)	(0.0, 0.0, 673.7390968694773)
(0.0, 0.0, -347.0942929406305)	(0.0, 0.0, 38.041688140882044)
(0.0, 0.0, -573.4424245031698)	(0.0, 0.0, -268.6118233618705)
(0.0, 0.0, -367.14604394331275)	(0.0, 0.0, -203.60332923491143)
(0.0, 0.0, -315.2551637012667)	(0.0, 0.0, 1015.4888422240999)
(0.0, 0.0, 243.35983759466666)	(0.0, 0.0, 96.25738706475943)
(0.0, 0.0, 403.18014077610206)	(0.0, 0.0, 396.7622806597666)
(0.0, 0.0, 419.91630292372116)	(0.0, 0.0, 360.97413026556904)
(0.0, 0.0, -463.20788939863615)	(0.0, 0.0, -289.98189386930073)
(0.0, 0.0, -223.38352418542252)	(0.0, 0.0, -25.013587919618693)
(0.0, 0.0, 210.251328201458)	(0.0, 0.0, 102.59204253586992)
(0.0, 0.0, -93.65555697446193)	(0.0, 0.0, 217.28998010691797)
(0.0, 0.0, -7.246617308981711)	(0.0, 0.0, -140.62102797371372)
(0.0, 0.0, -196.85341017938484)	(0.0, 0.0, 129.18015936900744)
(0.0, 0.0, 252.77723862799533)	(0.0, 0.0, -557.3959381275158)
(0.0, 0.0, 133.59218444964745)	(0.0, 0.0, 48.07689085387635)
(0.0, 0.0, -181.74488255167702)	(0.0, 0.0, -99.12802716937531)
(0.0, 0.0, 245.73014741293812)	(0.0, 0.0, 27.094123264518494)
(0.0, 0.0, 328.1276861047704)	(0.0, 0.0, 90.00917128512536)
(0.0, 0.0, -66.04655032628179)	(0.0, 0.0, -107.75937668226506)
(0.0, 0.0, -139.8159644516627)	(0.0, 0.0, -8.010895919099259)
(0.0, 0.0, 184.98095213338937)	(0.0, 0.0, 550.0044458716039)
(0.0, 0.0, 6.065351820337274)	(0.0, 0.0, -111.87922277815119)
(0.0, 0.0, 53.371225525516806)	(0.0, 0.0, -765.9683229286186)
(0.0, 0.0, 850.1432906839319)	(0.0, 0.0, 263.31244161668843)
(0.0, 0.0, 604.7658152772208)	(0.0, 0.0, -29.843286359290406)
(0.0, 0.0, 513.9201074336179)	(0.0, 0.0, -366.3814325807688)
(0.0, 0.0, -199.7811670709929)	(0.0, 0.0, 400.618580424461)
(0.0, 0.0, -233.67634456763514)	(0.0, 0.0, -897.5918139191944)
(0.0, 0.0, 301.77791379105446)	(0.0, 0.0, -245.17592605974625)
(0.0, 0.0, 327.9843234459395)	(0.0, 0.0, -355.0639717885447)
(0.0, 0.0, -456.5592735048542)	(0.0, 0.0, -552.7768519766951)
(0.0, 0.0, -544.9428690898084)	(0.0, 0.0, -283.2191412740146)
(0.0, 0.0, -633.6067151836539)	(0.0, 0.0, -11.062116077588446)
(0.0, 0.0, -409.42590327556036)	(0.0, 0.0, -640.3271698536413)
(0.0, 0.0, -344.5614439174819)	(0.0, 0.0, -441.98004018423933)
(0.0, 0.0, -91.58501491440035)	(0.0, 0.0, 27.11349845707842)
(0.0, 0.0, 558.7596155503475)	(0.0, 0.0, -105.3278934699139)
(0.0, 0.0, -683.4569737679601)	(0.0, 0.0, 310.3302372321911)
(0.0, 0.0, 24.82627183370615)	(0.0, 0.0, -144.21210468638407)
(0.0, 0.0, -75.92777421868836)	(0.0, 0.0, -1043.8934658280723)
(0.0, 0.0, 33.855000107739194)	(0.0, 0.0, 213.48051714675134)
(0.0, 0.0, -171.8612025543989)	(0.0, 0.0, -337.838331568265)
(0.0, 0.0, 218.1582125204866)	(0.0, 0.0, -212.97108523075798)
(0.0, 0.0, -533.8734961795845)	(0.0, 0.0, 109.42970082500824)
(0.0, 0.0, -200.25836978890925)	(0.0, 0.0, 818.3790370877169)
(0.0, 0.0, -326.84753132692697)	(0.0, 0.0, -246.27269587703188)
(0.0, 0.0, 499.8194493330035)	(0.0, 0.0, -415.04332232896337)
(0.0, 0.0, 434.9529709434132)	(0.0, 0.0, 361.4988337806048)
(0.0, 0.0, 8.192712560895904)	(0.0, 0.0, -293.539266696645)
(0.0, 0.0, -347.207532403658)	(0.0, 0.0, -144.2735568253597)
(0.0, 0.0, -67.44317521893232)	(0.0, 0.0, -351.3629549711389)
(0.0, 0.0, 458.6809528300959)	(0.0, 0.0, -689.0926313500673)
(0.0, 0.0, -83.878506707604)	(0.0, 0.0, 72.22323311249143)
(0.0, 0.0, -630.5286109107844)	(0.0, 0.0, -97.06516323450259)
(0.0, 0.0, 721.5693463169629)	(0.0, 0.0, 511.2771148471055)
(0.0, 0.0, -199.14987581574096)	(0.0, 0.0, -139.2230743967487)
(0.0, 0.0, 29.18232505814992)	(0.0, 0.0, 607.2109679888653)
(0.0, 0.0, -101.37205519105663)	(0.0, 0.0, -373.61307430025465)
(0.0, 0.0, 655.2650783306481)	(0.0, 0.0, 419.10767486023843)
(0.0, 0.0, -19.289339196910394)	(0.0, 0.0, 617.6908467965831)
(0.0, 0.0, -112.43168921962821)	(0.0, 0.0, -79.99485716335268)
(0.0, 0.0, 642.0116112407162)	(0.0, 0.0, -153.32773779169517)
(0.0, 0.0, 1036.1174106650856)	(0.0, 0.0, 114.35476578835832)
(0.0, 0.0, 369.03055267399014)	(0.0, 0.0, 702.0003638788353)
(0.0, 0.0, 35.85161370054599)	(0.0, 0.0, 512.036209845407)
(0.0, 0.0, 720.3179237468024)	(0.0, 0.0, -634.9198135291504)
(0.0, 0.0, 147.3007587021751)	(0.0, 0.0, -302.6356801093716)
(0.0, 0.0, 625.8259112711265)	(0.0, 0.0, -926.2376271513581)
(0.0, 0.0, 108.28831076029067)	(0.0, 0.0, -355.44410959518353)
(0.0, 0.0, -322.5082524802315)	(0.0, 0.0, 454.76979504507904)
(0.0, 0.0, 500.07381965183816)	(0.0, 0.0, -878.0194867700092)
(0.0, 0.0, -26.76384599471438)	(0.0, 0.0, 445.49336041819356)
(0.0, 0.0, -310.6050710327132)	(0.0, 0.0, -255.75864453768406)
(0.0, 0.0, 595.830184318591)	(0.0, 0.0, 20.879365085829722)
(0.0, 0.0, 343.42285355494863)	(0.0, 0.0, -267.36824765869517)
(0.0, 0.0, -417.69291806070913)	(0.0, 0.0, -49.80333345880188)
(0.0, 0.0, 281.12558754285993)	(0.0, 0.0, -370.6558664566854)
(0.0, 0.0, -546.5476794094951)	(0.0, 0.0, -475.3413351270269)
(0.0, 0.0, -176.407878509058)	(0.0, 0.0, -197.18319452021055)
(0.0, 0.0, -346.23537691982267)	(0.0, 0.0, -24.611594593200437)
(0.0, 0.0, -89.10059489829423)	(0.0, 0.0, 61.208320525990345)
(0.0, 0.0, 114.78469078929731)	(0.0, 0.0, -886.3061298398763)
